timestamp,seq,rtt,delay,jitter,predicted_prob,prediction
1776183075.353458,445,38721.335,62.956,8.734,0.0020,0
1776183075.383654,446,38723.857,30.196,32.759,0.0020,0
1776183075.413599,447,38733.227,29.945,0.251,0.0020,0
1776183075.475615,448,38765.234,62.016,32.070,0.0020,0
1776183075.541523,449,38800.769,65.908,3.893,0.0020,0
1776183075.598356,450,38825.886,56.833,9.075,0.0020,0
1776183075.633709,451,38829.672,35.353,21.480,0.0020,0
1776183075.698305,452,38862.755,64.597,29.244,0.0020,0
1776183075.760565,453,38893.244,62.259,2.337,0.0020,0
1776183075.784036,455,38809.198,23.472,38.788,0.0020,0
1776183075.853492,456,38819.062,69.456,45.985,0.0020,0
1776183075.883395,457,38798.389,29.903,39.553,0.0020,0
1776183075.945452,458,38834.634,62.057,32.154,0.0020,0
1776183076.201129,459,39069.658,255.677,193.620,0.0020,1
1776183076.559672,460,39396.056,358.543,102.866,0.0020,1
1776183076.858681,461,39673.812,299.009,59.534,0.0020,0
1776183077.145612,462,39929.800,286.931,12.078,0.0020,0
1776183077.244621,463,39996.964,99.009,187.922,0.0020,1
1776183077.466888,464,40198.909,222.267,123.258,0.0020,1
1776183077.500560,465,40209.531,33.672,188.595,0.0020,1
1776183077.553515,466,40230.938,52.955,19.283,0.0020,0
1776183077.775766,467,40432.375,222.251,169.296,0.0020,1
1776183077.972474,468,40605.124,196.708,25.542,0.0020,0
1776183078.204051,469,40815.316,231.577,34.869,0.0020,0
1776183078.374634,470,40954.571,170.583,60.994,0.0020,0
1776183078.602193,471,41150.671,227.560,56.977,0.0020,0
1776183078.877588,472,41394.748,275.395,47.835,0.0020,0
1776183079.238469,473,41724.746,360.881,85.486,0.0020,0
1776183079.443141,474,41897.505,204.672,156.209,0.0020,1
1776183079.483572,475,41905.873,40.431,164.241,0.0020,1
1776183079.522283,476,41919.077,38.710,1.721,0.0020,0
1776183079.575250,477,41921.158,52.967,14.257,0.0020,0
1776183079.635335,478,41919.642,60.086,7.118,0.0020,0
1776183079.665988,479,41887.576,30.653,29.433,0.0020,0
1776183079.712888,480,41870.884,46.900,16.247,0.0020,0
1776183079.777671,481,41910.240,64.783,17.884,0.0020,0
1776183079.916144,482,42021.141,138.473,73.690,0.0020,0
1776183080.168608,483,42252.518,252.464,113.990,0.0020,1
1776183080.454199,485,42473.513,285.591,33.128,0.0020,0
1776183080.565576,486,42552.798,111.377,174.214,0.0020,1
1776183080.789787,488,42720.678,224.212,112.835,0.0020,1
1776183080.824586,489,42728.686,34.799,189.413,0.0020,1
1776183080.888152,490,42757.611,63.565,28.766,0.0020,0
1776183080.926978,491,42734.005,38.826,24.740,0.0020,0
1776183080.990688,492,42774.213,63.710,24.885,0.0020,0
1776183081.282507,493,43040.805,291.819,228.109,0.0020,1
1776183081.598392,494,43336.049,315.885,24.066,0.0020,0
1776183081.781618,496,43468.810,183.225,132.660,0.0020,1
1776183081.984685,497,43649.634,203.068,19.842,0.0020,0
1776183082.219344,498,43857.980,234.658,31.591,0.0020,0
1776183082.500654,499,44104.610,281.310,46.652,0.0020,0
1776183082.700333,500,44268.030,199.679,81.631,0.0020,0
1776183082.739897,502,44255.545,39.564,160.115,0.0020,1
1776183082.771991,503,44262.439,32.094,7.469,0.0020,0
1776183082.821231,504,44277.946,49.240,17.146,0.0020,0
1776183082.877384,505,44299.785,56.153,6.913,0.0020,0
1776183082.939866,506,44339.850,62.482,6.329,0.0020,0
1776183082.975508,507,44350.777,35.642,26.839,0.0020,0
1776183083.036945,508,44380.911,61.437,25.795,0.0020,0
1776183083.065183,509,44377.643,28.238,33.199,0.0020,0
1776183083.119150,510,44400.569,53.967,25.729,0.0020,0
1776183083.175515,511,44425.242,56.365,2.398,0.0020,0
1776183083.229557,512,44447.973,54.041,2.324,0.0020,0
1776183083.271631,513,44466.532,42.074,11.967,0.0020,0
1776183083.402887,514,44533.036,131.256,89.181,0.0020,0
1776183083.616881,515,44684.479,213.994,82.738,0.0020,0
1776183083.898405,516,44903.111,281.524,67.530,0.0020,0
1776183084.100497,517,45080.458,202.093,79.431,0.0020,0
1776183084.326804,518,45278.646,226.307,24.214,0.0020,0
1776183084.637623,519,45566.288,310.818,84.512,0.0020,0
1776183084.917058,520,45814.633,279.436,31.383,0.0020,0
1776183085.211338,521,46082.111,294.280,14.844,0.0020,0
1776183085.245521,522,46095.322,34.183,260.096,0.0020,1
1776183085.308598,523,46127.007,63.076,28.893,0.0020,0
1776183085.375538,524,46173.744,66.940,3.863,0.0020,0
1776183085.414878,525,46181.973,39.340,27.599,0.0020,0
1776183085.462038,526,46203.578,47.159,7.819,0.0020,0
1776183085.505188,527,46214.932,43.150,4.009,0.0020,0
1776183085.536160,528,46214.494,30.972,12.178,0.0020,0
1776183085.574801,529,46222.179,38.642,7.670,0.0020,0
1776183085.611851,530,46227.253,37.050,1.592,0.0020,0
1776183085.650997,531,46234.314,39.145,2.095,0.0020,0
1776183085.713170,532,46264.859,62.173,23.028,0.0020,0
1776183085.820071,533,46340.144,106.902,44.729,0.0020,0
1776183086.092688,534,46552.483,272.617,165.715,0.0020,1
1776183086.439942,535,46844.657,347.254,74.637,0.0020,0
1776183086.624653,536,46966.333,184.711,162.542,0.0020,1
1776183086.841970,537,47126.386,217.317,32.606,0.0020,0
1776183087.129791,538,47360.046,287.821,70.504,0.0020,0
1776183087.308731,539,47509.043,178.940,108.881,0.0020,1
1776183087.533439,540,47710.235,224.708,45.768,0.0020,0
1776183087.805957,541,47960.600,272.518,47.810,0.0020,0
1776183087.984753,542,48107.584,178.796,93.722,0.0020,0
1776183088.030826,543,48122.161,46.073,132.724,0.0020,1
1776183088.080816,544,48140.980,49.990,3.918,0.0020,0
1776183088.118387,545,48155.519,37.571,12.419,0.0020,0
1776183088.187389,546,48202.105,69.002,31.431,0.0020,0
1776183088.224900,547,48203.758,37.511,31.492,0.0020,0
1776183088.291286,549,48206.720,66.386,28.876,0.0020,0
1776183088.537465,550,48421.574,246.179,179.792,0.0020,1
1776183088.900635,551,48749.164,363.170,116.992,0.0020,1
1776183089.218592,552,49046.051,317.956,45.214,0.0020,0
1776183089.423887,553,49219.908,205.295,112.661,0.0020,1
1776183089.634483,554,49408.979,210.596,5.300,0.0020,0
1776183089.872501,555,49616.180,238.019,27.423,0.0020,0
1776183090.122797,556,49834.852,250.296,12.278,0.0020,0
1776183090.385341,557,50065.283,262.544,12.247,0.0020,0
1776183090.577521,558,50226.212,192.180,70.364,0.0020,0
1776183090.848475,559,50462.321,270.954,78.774,0.0020,0
1776183090.895506,560,50482.450,47.031,223.923,0.0020,1
1776183090.943920,561,50507.702,48.414,1.383,0.0020,0
1776183091.168342,562,50700.622,224.422,176.008,0.0020,1
1776183091.490985,563,50992.434,322.643,98.221,0.0020,1
1776183091.758837,564,51228.385,267.852,54.791,0.0020,0
1776183091.998054,565,51435.653,239.216,28.636,0.0020,0
1776183092.248156,566,51654.492,250.103,10.886,0.0020,0
1776183092.470201,567,51843.988,222.045,28.057,0.0020,0
1776183092.756362,568,52098.216,286.161,64.116,0.0020,0
1776183092.965791,569,52275.754,209.429,76.731,0.0020,0
1776183093.200226,570,52478.372,234.434,25.005,0.0020,0
1776183093.263771,571,52518.809,63.546,170.888,0.0020,1
1776183093.296022,572,52494.750,32.251,31.295,0.0020,0
1776183093.358275,573,52494.787,62.253,30.002,0.0020,0
1776183093.423569,574,52496.836,65.294,3.041,0.0020,0
1776183093.498385,575,52521.374,74.816,9.522,0.0020,0
1776183093.549858,576,52522.466,51.473,23.343,0.0020,0
1776183093.582300,577,52503.213,32.443,19.030,0.0020,0
1776183093.639998,578,52531.419,57.697,25.255,0.0020,0
1776183093.677157,579,52542.190,37.160,20.538,0.0020,0
1776183093.707219,580,52538.743,30.062,7.098,0.0020,0
1776183093.770073,581,52580.952,62.854,32.793,0.0020,0
1776183093.794587,582,52576.335,24.514,38.340,0.0020,0
